PCR-GLOBWB ID;Catchment [Km2];Latitude;Longitude;Reservoir Size (million m3)
127.00000;4013.00000;14528.18256;0.20682;0.97500
128.00000;266305.78784;0.49833;33.13750;0.75000
129.00000;445.14343;-12.82755;14.14039;0.70000
130.00000;4985.31396;-3.89450;13.76430;0.50000
131.00000;0.00000;-18.92127;47.92942;0.36000
132.00000;799.05182;1.54545;31.11142;0.15000
133.00000;0.00000;11.81975;36.92042;0.00000
134.00000;0.00000;3.13005;32.51465;
135.00000;0.00000;32.20667;-6.53083;
136.00000;0.00000;-10.88430;20.23885;
137.00000;0.00000;32.62278;-6.18637;
138.00000;0.00000;-2.40167;26.11389;
139.00000;0.00000;-18.79410;48.61933;
140.00000;0.00000;24.03400;32.86560;
141.00000;0.00000;24.03400;32.86560;
142.00000;0.00000;5.58125;-3.15916;
143.00000;0.00000;-1.42417;26.49167;
144.00000;0.00000;1.78333;9.85000;
145.00000;0.00000;4.87130;18.04990;
146.00000;0.00000;4.88100;18.03880;
147.00000;0.00000;-2.23306;11.46333;
148.00000;0.00000;;;
149.00000;0.00000;1.56700;30.18300;
150.00000;0.00000;0.30010;30.10051;
151.00000;0.00000;-9.75338;14.48084;
152.00000;0.00000;8.42606;-13.19608;
153.00000;0.00000;-10.10944;30.91660;
154.00000;0.00000;-32.02730;28.59890;
155.00000;0.00000;36.54167;5.34090;
156.00000;0.00000;1.57580;10.46870;
157.00000;0.00000;9.95282;-12.99065;
158.00000;0.00000;-5.15583;38.45030;
159.00000;0.00000;-26.58950;31.32400;
160.00000;0.00000;25.31536;32.55575;
161.00000;0.00000;4.97290;-6.65190;
162.00000;0.00000;14.35909;-11.34969;
163.00000;0.00000;6.29910;-10.31006;
164.00000;0.00000;4.09628;15.15277;
165.00000;0.00000;7.92417;37.38778;
166.00000;0.00000;-0.90910;34.34926;
167.00000;0.00000;8.13883;-11.34725;
168.00000;0.00000;;;
169.00000;0.00000;-5.52697;13.62090;
170.00000;0.00000;9.36784;8.80940;
171.00000;0.00000;9.36138;8.76037;
172.00000;0.00000;10.46235;-13.28067;
173.00000;0.00000;-0.88138;29.67083;
174.00000;0.00000;-15.00750;35.24232;
175.00000;0.00000;-15.00750;35.24232;
176.00000;0.00000;-16.52209;28.76167;
177.00000;0.00000;-16.52099;28.76140;
178.00000;0.00000;;;
179.00000;0.00000;-4.29366;27.13287;
180.00000;0.00000;0.45500;10.28100;
181.00000;0.00000;11.06149;-12.45755;
182.00000;0.00000;0.45029;33.18558;
183.00000;0.00000;7.01171;0.64433;
184.00000;0.00000;6.12010;0.12550;
185.00000;0.00000;-28.40532;28.36585;
186.00000;0.00000;9.40078;8.74594;
187.00000;0.00000;9.82901;8.66801;
188.00000;0.00000;-0.20933;30.11695;
189.00000;0.00000;-5.03356;28.94910;
190.00000;0.00000;;;
191.00000;0.00000;;;
192.00000;0.00000;1.05118;15.69707;
193.00000;0.00000;8.57960;-9.43043;
194.00000;0.00000;-7.37424;20.82209;
195.00000;0.00000;0.08370;29.76194;
196.00000;0.00000;;;
197.00000;0.00000;-6.50139;20.88944;
198.00000;0.00000;-14.23330;29.11390;
199.00000;0.00000;-8.93330;31.15000;
200.00000;0.00000;-13.35000;31.26670;
201.00000;0.00000;-13.35000;31.26670;
202.00000;0.00000;-2.70583;26.29389;
203.00000;0.00000;-26.61510;31.35309;
204.00000;0.00000;0.47859;30.27307;
205.00000;0.00000;8.63632;-11.64443;
206.00000;0.00000;-4.06744;27.99351;
207.00000;0.00000;36.58214;5.58448;
208.00000;0.00000;-3.83040;30.32911;
209.00000;0.00000;-1.90194;11.90750;
210.00000;0.00000;4.30060;21.18330;
211.00000;0.00000;4.41670;18.79440;
212.00000;0.00000;-7.30000;27.45000;
213.00000;0.00000;6.51047;-10.65107;
214.00000;0.00000;0.06650;30.32135;
215.00000;0.00000;-5.84306;13.49972;
216.00000;0.00000;0.31852;30.10040;
217.00000;0.00000;0.26100;30.14932;
218.00000;0.00000;;;
219.00000;0.00000;-1.58169;29.65494;
220.00000;0.00000;;;
221.00000;0.00000;-17.84190;25.85430;
222.00000;0.00000;-1.31846;30.07892;
223.00000;0.00000;-5.24850;29.84766;
224.00000;0.00000;26.04600;32.24863;
225.00000;0.00000;0.61564;29.97944;
226.00000;0.00000;-28.75524;20.62052;
227.00000;0.00000;29.99694;31.24631;
228.00000;0.00000;9.83136;8.67053;
229.00000;0.00000;10.67819;-5.10223;
230.00000;0.00000;-15.05740;35.22505;
231.00000;0.00000;-15.05740;35.22505;
232.00000;0.00000;1.12076;30.66857;
233.00000;0.00000;-1.47670;29.75070;
234.00000;0.00000;2.42833;30.97333;
235.00000;0.00000;0.21238;30.00547;
236.00000;0.00000;35.24558;-5.29090;
237.00000;0.00000;9.77330;8.69606;
238.00000;0.00000;-7.66670;28.16670;
239.00000;0.00000;8.75837;-12.78683;
240.00000;0.00000;-1.77324;13.55151;
241.00000;0.00000;3.38694;8.74917;
242.00000;0.00000;-2.46829;29.55334;
243.00000;0.00000;-2.89612;29.47349;
244.00000;0.00000;0.38625;30.18529;
245.00000;0.00000;-0.35257;34.81352;
246.00000;0.00000;-4.84194;14.96056;
247.00000;0.00000;0.63007;29.97805;
248.00000;0.00000;1.27836;34.65927;
249.00000;0.00000;1.56000;30.24000;
250.00000;0.00000;-0.39882;34.88886;
251.00000;0.00000;8.35547;35.49509;
252.00000;0.00000;12.64368;-7.92724;
253.00000;0.00000;;;
254.00000;0.00000;-28.43055;28.38500;
255.00000;0.00000;-0.71667;37.15000;
256.00000;0.00000;33.07874;-5.51007;
257.00000;0.00000;;;
258.00000;0.00000;-15.52682;34.81818;
259.00000;0.00000;;;
260.00000;0.00000;10.72866;-11.17211;
261.00000;0.00000;;;
262.00000;0.00000;10.77136;-5.15701;
263.00000;0.00000;-6.08500;23.76583;
264.00000;0.00000;0.53750;25.18750;
265.00000;0.00000;6.86805;11.18279;
266.00000;0.00000;-17.92435;25.85589;
267.00000;0.00000;1.76606;31.36599;
268.00000;0.00000;-0.74957;37.16666;
269.00000;0.00000;-12.85836;34.09815;
270.00000;0.00000;8.41179;-11.84793;
271.00000;0.00000;;;
272.00000;;;;
273.00000;;;;
274.00000;;;;
