PCR-GLOBWB ID,Catchment [Km2],Latitude,Longitude,Reservoir Size (million m3),Surface area
245.00000,0.00000,-4.84194,14.96056,,
246.00000,0.00000,0.63007,29.97805,,
247.00000,0.00000,1.27836,34.65927,,
248.00000,0.00000,1.56000,30.24000,,
249.00000,0.00000,-0.39882,34.88886,,
250.00000,0.00000,8.35547,35.49509,,
251.00000,0.00000,12.64368,-7.92724,,
252.00000,0.00000,,,,
253.00000,0.00000,-28.43055,28.38500,,
254.00000,0.00000,-0.71667,37.15000,,
255.00000,0.00000,33.07874,-5.51007,,
256.00000,0.00000,,,,
257.00000,0.00000,-15.52682,34.81818,,
258.00000,0.00000,,,,
259.00000,0.00000,10.72866,-11.17211,,
260.00000,0.00000,,,,
261.00000,0.00000,10.77136,-5.15701,,
262.00000,0.00000,-6.08500,23.76583,,
263.00000,0.00000,0.53750,25.18750,,
264.00000,0.00000,6.86805,11.18279,,
265.00000,0.00000,-17.92435,25.85589,,
266.00000,0.00000,1.76606,31.36599,,
267.00000,0.00000,-0.74957,37.16666,,
268.00000,0.00000,-12.85836,34.09815,,
269.00000,0.00000,8.41179,-11.84793,,
270.00000,0.00000,,,,
271.00000,,,,,
272.00000,,,,,
273.00000,,,,,
